Common_Name,Genus_Species,Superorder,Order,Body_Mass_g,Log_Body_Mass,Longevity_y,Log_Longevity,Longevity_Quotient,Total_TSGs,Total_TSGs_Normalized,Total_Oncogenes,Total_Oncogenes_Normalized,GS_TSG_Numbers,GS_TSG_normalized,Somatic_normalized,Germline_normalized,Oncogene_copies,Oncogene_normalized
African Savanna Elephant,Loxodonta_africana,Afrotheria,Proboscidea,4.50E+06,6.653212514,80,1.903089987,0.976974085,387,1.65384615,465,2.039473684,55,1.279069767,1.833333333,1.206896552,228,2.039473684
Alpaca,Vicugna_pacos,Laurasiatheria,Artiodactyla,62000,4.792391689,25.8,1.411619706,0.978815042,366,1.56410256,480,2.114537445,54,1.255813953,1.74375,1.064516129,227,2.114537445
American Bison,Bison_bison,Laurasiatheria,Artiodactyla,624577.07,5.795586036,33.5,1.525044807,0.889321776,442,1.90517241,498,2.213333333,51,1.243902439,2.245283019,1.0625,225,2.213333333
Antarctic Fur Seal,Arctocephalus_gazella,Laurasiatheria,Carnivora,67979.43,4.832377519,30.6,1.485721426,1.022491612,420,1.80257511,507,2.273542601,58,1.380952381,2,1.375,223,2.273542601
Antarctic Minke Whale,Balaenoptera_bonaerensis,Laurasiatheria,Cetacea,7.50E+06,6.875061263,50,1.698970004,0.927837972,399,1.84722222,437,2.03255814,54,1.421052632,2.096551724,1.242424242,215,2.03255814
Arabian Camel,Camelus_dromedarius,Laurasiatheria,Artiodactyla,434000,5.63748973,40,1.602059991,0.958244523,372,1.58974359,464,2.026200873,56,1.302325581,1.779874214,1.03125,229,2.026200873
Bactrian Camel,Camelus_bactrianus,Laurasiatheria,Artiodactyla,475000,5.67669361,40,1.602059991,0.952175857,358,1.54310345,465,2.02173913,52,1.238095238,1.72327044,1.032258065,230,2.02173913
Beluga Whale,Delphinapterus_leucas,Laurasiatheria,Cetacea,1.38E+06,6.139879086,40,1.602059991,0.885889758,442,1.88888889,508,2.247787611,57,1.357142857,2.169811321,1.212121212,226,2.247787611
Black Bear,Ursus_americanus,Laurasiatheria,Carnivora,132405,5.121904386,34,1.531478917,0.999833721,403,1.70762712,523,2.324444444,64,1.488372093,1.892405063,1.147058824,225,2.324444444
Bowhead Whale,Balaena_mysticetus,Laurasiatheria,Cetacea,8.00E+07,7.903089987,211,2.324282455,1.01600876,444,1.8974359,479,2.128888889,55,1.30952381,2.194968553,1.212121212,225,2.128888889
