REQUIREMENT_DESIGNATION,COURSE,TITLE,UNITS_MINIMUM,UNITS_MAXIMUM,RQMNT_DESIGNTN,LS_ESSENTIAL_SKILL,FIRST_TERM,LAST_TERM,CRSE_ID,FIRST_TERM_CODE,LAST_TERM_CODE
Aesthetic and Humanistic Inquiry,ACM 210,INTRO ARTS/CULTURAL MANAGEMENT,3,3,AHI,Effective Writing,Fall 2012,,000230,1127,
Aesthetic and Humanistic Inquiry,ACM 210,INTRO ARTS/CULTURAL MANAGEMENT,3,3,AHI,,Fall 2011,Summer 2012,000230,1117,1124
Aesthetic and Humanistic Inquiry,ACM 310,MARKETING ARTS AND CULTURE,3,3,AHI,Effective Writing,Fall 2012,,000232,1127,
Aesthetic and Humanistic Inquiry,ACM 310,MARKETING ARTS AND CULTURE,3,3,AHI,,Fall 2011,Summer 2012,000232,1117,1124
Aesthetic and Humanistic Inquiry,ACM 350,ARTS AND CULTURAL POLICY,3,3,AHIE,Effective Writing,Fall 2013,,010980,1137,
Aesthetic and Humanistic Inquiry,AIS 255,GENDER & INDIGENOUS REP,3,3,AHIE,Critical Thinking,Fall 2012,,010221,1127,
Aesthetic and Humanistic Inquiry,AIS 255,GENDER & INDIGENOUS REP,3,3,AHIE,,Fall 2008,Summer 2012,010221,1087,1124
Aesthetic and Humanistic Inquiry,AIS 310,SOUNDING RESISTANCE,3,3,AHI,Critical Thinking,Fall 2014,,011531,1147,
Aesthetic and Humanistic Inquiry,ANT 106,ANCIENT TECHNOLOGY,3,3,AHI,Scientific Inquiry,Fall 2012,,010032,1127,
Aesthetic and Humanistic Inquiry,ANT 106,ANCIENT TECHNOLOGY,3,3,AHI,,Fall 2008,Summer 2012,010032,1087,1124
Aesthetic and Humanistic Inquiry,ANT 350,EMERGENCE OF CIV,3,3,AHI,,Fall 1999,Sumr 10 Wk 2002,000323,0997,1026
Aesthetic and Humanistic Inquiry,ANT 355,ARCHAEOLOGY OF ROCK ART,3,3,AHIG,Critical Thinking,Fall 2012,,000326,1127,
Aesthetic and Humanistic Inquiry,ANT 355,ARCHAEOLOGY OF ROCK ART,3,3,AHIG,,Fall 2005,Summer 2012,000326,1057,1124
Aesthetic and Humanistic Inquiry,ANT 355,ARCHAEOLOGY OF ROCK ART,3,3,AHI,,Spring 2005,Summer 2005,000326,1051,1054
Aesthetic and Humanistic Inquiry,ANT 355,ARCHAEOLOGY ROCK ART,3,3,AHI,,Fall 2001,Winter 2004,000326,1017,1048
Aesthetic and Humanistic Inquiry,ANT 355H,ARCHAELGY OF ROCK ART - HONORS,3,3,AHIG,Critical Thinking,Fall 2012,,000327,1127,
Aesthetic and Humanistic Inquiry,ANT 355H,ARCHAELGY OF ROCK ART - HONORS,3,3,AHIG,,Fall 2005,Summer 2012,000327,1057,1124
Aesthetic and Humanistic Inquiry,ANT 355H,ARCHAELGY OF ROCK ART - HONORS,3,3,AHI,,Spring 2005,Summer 2005,000327,1051,1054
Aesthetic and Humanistic Inquiry,ANT 355H,ARCHAEOLOGY ROCK ART - HONORS,3,3,AHI,,Fall 2002,Winter 2004,000327,1027,1048
Aesthetic and Humanistic Inquiry,ARH 141,WESTERN ART TO 1400,3,3,AHI,Critical Thinking,Fall 2012,,000479,1127,
Aesthetic and Humanistic Inquiry,ARH 141,WESTERN ART TO 1400,3,3,AHI,,Spring 2010,Summer 2012,000479,1101,1124
Aesthetic and Humanistic Inquiry,ARH 141H,WESTERN ART TO 1400 - HONORS,3,3,AHI,Critical Thinking,Fall 2012,,009887,1127,
Aesthetic and Humanistic Inquiry,ARH 141H,WESTERN ART TO 1400 - HONORS,3,3,AHI,,Spring 2010,Summer 2012,009887,1101,1124
Aesthetic and Humanistic Inquiry,ARH 142,WESTERN ART SINCE 1400,3,3,AHI,Critical Thinking,Fall 2012,,000480,1127,
Aesthetic and Humanistic Inquiry,ARH 142,WESTERN ART SINCE 1400,3,3,AHI,,Spring 2010,Summer 2012,000480,1101,1124
Aesthetic and Humanistic Inquiry,ARH 142H,WSTRN ART SINCE 1400 - HONORS,3,3,AHI,Critical Thinking,Fall 2012,,009888,1127,
Aesthetic and Humanistic Inquiry,ARH 142H,WSTRN ART SINCE 1400 - HONORS,3,3,AHI,,Spring 2010,Summer 2012,009888,1101,1124
Aesthetic and Humanistic Inquiry,ARH 143,INTRO TO THE ARTS OF ASIA,3,3,AHIG,Critical Thinking,Fall 2012,,009416,1127,
Aesthetic and Humanistic Inquiry,ARH 143,INTRO TO THE ARTS OF ASIA,3,3,AHIG,,Spring 2010,Summer 2012,009416,1101,1124
Aesthetic and Humanistic Inquiry,ARH 143H,INTRO ARTS OF ASIA - HONORS,3,3,AHIG,Critical Thinking,Fall 2012,,009889,1127,
