Month,gnuplot,matplotlib
2004-01,65,4
2004-02,90,0
2004-03,64,7
2004-04,91,7
2004-05,68,3
2004-06,86,3
2004-07,86,4
2004-08,60,6
2004-09,77,6
2004-10,100,4
2004-11,76,2
2004-12,66,4
2005-01,76,4
2005-02,67,5
2005-03,72,6
2005-04,58,4
2005-05,66,8
2005-06,59,11
2005-07,69,5
2005-08,64,7
2005-09,59,4
2005-10,64,4
2005-11,57,11
2005-12,47,6
2006-01,47,9
2006-02,61,11
2006-03,65,5
2006-04,55,6
2006-05,43,8
2006-06,44,13
2006-07,46,6
2006-08,48,10
2006-09,45,10
2006-10,50,12
2006-11,44,8
2006-12,39,9
2007-01,37,6
2007-02,46,9
2007-03,41,10
2007-04,46,9
2007-05,42,10
2007-06,45,7
2007-07,46,8
2007-08,34,10
2007-09,39,7
2007-10,42,10
2007-11,38,10
2007-12,32,12
2008-01,34,10
2008-02,38,8
2008-03,36,9
2008-04,39,9
2008-05,34,8
2008-06,34,11
2008-07,31,13
2008-08,32,11
2008-09,35,13
2008-10,32,12
2008-11,35,12
2008-12,28,11
2009-01,30,10
2009-02,36,14
2009-03,37,14
2009-04,30,16
2009-05,36,14
2009-06,32,15
2009-07,32,14
2009-08,31,15
2009-09,32,11
2009-10,31,14
2009-11,30,14
2009-12,25,14
2010-01,26,10
2010-02,34,18
2010-03,34,17
2010-04,34,20
2010-05,30,19
2010-06,32,21
2010-07,27,19
2010-08,23,16
2010-09,30,15
2010-10,26,16
2010-11,24,15
2010-12,18,16
2011-01,21,16
2011-02,25,18
2011-03,24,18
2011-04,25,19
2011-05,22,16
2011-06,21,17
2011-07,18,18
2011-08,21,16
2011-09,20,18
2011-10,21,20
2011-11,18,18
2011-12,14,12
2012-01,19,16
2012-02,22,18
2012-03,20,21
2012-04,19,16
2012-05,17,20
2012-06,19,18
2012-07,18,17
2012-08,15,19
2012-09,17,20
2012-10,17,24
2012-11,15,19
2012-12,12,19
2013-01,14,20
2013-02,16,27
2013-03,17,23
2013-04,14,24
2013-05,16,22
2013-06,15,24
2013-07,14,24
2013-08,12,26
2013-09,14,25
2013-10,15,30
2013-11,14,30
2013-12,13,22
2014-01,13,25
2014-02,16,30
2014-03,15,32
2014-04,16,34
2014-05,13,30
2014-06,12,32
2014-07,13,35
2014-08,10,29
2014-09,15,32
2014-10,14,34
2014-11,10,32
2014-12,9,26
2015-01,12,28
2015-02,12,35
2015-03,13,36
2015-04,12,38
2015-05,9,37
2015-06,11,40
2015-07,12,43
2015-08,11,39
2015-09,10,37
2015-10,10,44
2015-11,10,43
2015-12,8,37
2016-01,9,37
2016-02,13,47
2016-03,10,47
2016-04,11,48
2016-05,10,48
2016-06,8,47
2016-07,10,48
2016-08,9,43
2016-09,9,47
2016-10,9,45
2016-11,9,52
2016-12,8,45
2017-01,8,53
2017-02,9,68
2017-03,9,73
2017-04,10,71
2017-05,9,62
2017-06,7,69
2017-07,8,70
2017-08,8,62
2017-09,7,64
2017-10,8,72
2017-11,8,72
2017-12,5,57
2018-01,7,62
2018-02,7,81
2018-03,8,74
2018-04,6,84
2018-05,6,75
2018-06,7,76
2018-07,5,75
2018-08,6,75
2018-09,6,80
2018-10,7,88
2018-11,6,86
2018-12,4,65
2019-01,6,75
2019-02,5,85
